snz_uid,tax_year,income,,
11,2019-03-30,17829,,
12,2019-03-30,116240,,
13,2019-03-30,33187,,
22,2019-03-30,22993,,
34,2019-03-30,57036,,
35,2019-03-30,30342,,
45,2019-03-30,61939,,
11,2020-03-30,114874,,
12,2020-03-30,16678,,
13,2020-03-30,16071,,
22,2020-03-30,68855,,
34,2020-03-30,27553,,
35,2020-03-30,109255,,
45,2020-03-30,93819,,
11,2021-03-30,18882,,
12,2021-03-30,27736,,
13,2021-03-30,90315,,
22,2021-03-30,47701,,
34,2021-03-30,103699,,
35,2021-03-30,104618,,
45,2021-03-30,104193,,
11,2022-03-30,70708,,
12,2022-03-30,118546,,
13,2022-03-30,63200,,
22,2022-03-30,64707,,
34,2022-03-30,23099,,
35,2022-03-30,73040,,
45,2022-03-30,75346,,
11,2023-03-30,58071,,
12,2023-03-30,38056,,
13,2023-03-30,76476,,
22,2023-03-30,37041,,
34,2023-03-30,76501,,
35,2023-03-30,60234,,
45,2023-03-30,68018,,
11,2024-03-30,27074,,
12,2024-03-30,48154,,
13,2024-03-30,106705,,
22,2024-03-30,24776,,
34,2024-03-30,111759,,
35,2024-03-30,54817,,
45,2024-03-30,33492,,
