col01,val01,col02,val02,col03,val03,label1,count1,count2,sum1
age,younger,,,group,X,live births,25,25,750
age,younger,,,group,Y,live births,19,19,1520
age,older,,,type,A,live births,60,4,320
age,older,,,type,B,live births,8,2,100
age,older,,,group,X,live births,71,33,330
age,older,,,group,Y,live births,19,4,240
,,region,north,type,B,live births,43,21,1050
,,region,north,group,X,live births,88,39,2730
,,region,north,group,Y,live births,38,21,1680
,,region,south,type,A,live births,3,1,80
,,region,south,group,X,live births,31,24,960
,,region,south,group,Y,live births,22,3,300
age,younger,region,north,,,live births,95,88,7040
age,younger,region,south,,,live births,56,21,1890
age,older,region,north,,,live births,41,4,200
age,older,region,south,,,live births,29,24,1440
age,younger,,,type,A,benefit receipt,8,8,800
age,younger,,,type,B,benefit receipt,35,27,2700
age,younger,,,group,X,benefit receipt,68,63,1260
age,younger,,,group,Y,benefit receipt,46,31,930
age,older,,,type,A,benefit receipt,58,3,180
age,older,,,type,B,benefit receipt,79,42,420
age,older,,,group,X,benefit receipt,69,68,680
age,older,,,group,Y,benefit receipt,84,8,480
,,region,north,type,B,benefit receipt,14,5,450
,,region,north,group,X,benefit receipt,84,3,150
,,region,north,group,Y,benefit receipt,72,49,2450
,,region,south,type,A,benefit receipt,28,18,1800
,,region,south,group,X,benefit receipt,23,7,70
,,region,south,group,Y,benefit receipt,46,11,770
age,younger,region,north,,,benefit receipt,100,22,1540
age,younger,region,south,,,benefit receipt,47,46,3220
age,older,region,north,,,benefit receipt,86,57,3420
age,older,region,south,,,benefit receipt,85,81,7290
age,younger,,,type,A,emergency housing,48,10,200
age,younger,,,type,B,emergency housing,43,1,50
age,younger,,,group,X,emergency housing,37,3,60
age,younger,,,group,Y,emergency housing,10,9,720
age,older,,,type,A,emergency housing,41,38,3040
age,older,,,type,B,emergency housing,31,11,660
age,older,,,group,X,emergency housing,74,52,4680
age,older,,,group,Y,emergency housing,60,52,3640
,,region,north,type,B,emergency housing,89,33,1320
,,region,north,group,X,emergency housing,81,1,100
,,region,north,group,Y,emergency housing,48,34,1700
,,region,south,type,A,emergency housing,94,51,510
,,region,south,group,X,emergency housing,58,45,2700
,,region,south,group,Y,emergency housing,12,3,60
age,younger,region,north,,,emergency housing,85,65,5200
age,younger,region,south,,,emergency housing,98,79,2370
age,older,region,north,,,emergency housing,75,29,1160
age,older,region,south,,,emergency housing,21,8,640
